id,question,A,B,C,D,answer
4,"Để xác định máu trong cơ thể một bệnh nhân, bác sĩ tiêm vào máu người đó 10 cm3 một dung dịch chứa  có chu kì bán rã 15 giờ với nồng độ 10-3 mol/lít.
a)	Số mol  đã đưa vào trong máu bệnh nhân là n = 10-5 mol.
b)	Khối lượng  đã đưa vào trong máu bệnh nhân là m0 = 2,4.10-4 g.
c)	Sau 6 giờ lượng chất phóng xạ  còn lại trong máu bệnh nhân là m = 1,8.10-4 g.
d)	Sau 6 giờ người ta lấy ra 10 cm3 máu bệnh nhân và đã tìm thấy 1,5.10-8 mol của chất . Giả thiết rằng chất phóng xạ được phân bố trong toàn bộ thể tích máu bệnh nhân. Thể tích máu trong cơ thể bệnh nhân là V = 5 lít.",,,,,"Đáp án: 
Công thức tính nhiệt lượng: Q=mcΔT
m=400 kg (khối lượng chất lỏng); c = 3600 J/(kgK (nhiệt dung riêng của chất lỏng)
ΔT=8,0 K  (độ tăng nhiệt độ)
Thay các giá trị vào công thức: Q=400×3600×8,0=11520000 J =11,52 MJ
Làm tròn đến 11,5 MJ."
1,"và Câu 2: Một bình oxygen y tế bệnh nhân thở trong giai đoạn phục hồi sức khỏe, bệnh nhân cần di chuyển thường xuyên hoặc bệnh nhân thở tại nhà có thể tích cố định là 10 lít chứa khí oxygen với áp suất ban đầu là 150 atm ở nhiệt độ 20 °C. Khí trong bình tuân theo định luật khí lý tưởng.",,,Khí trong bình tuân theo định luật khí lý tưởng.,,"Đáp án: C
A. Nóng chảy.	B. Hóa hơi.	C. Thăng hoa.	D. Đông đặc."
1,"Nếu nhiệt độ của bình oxygen tăng lên đến 40 °C, Tính áp suất mới của oxygen trong bình (làm tròn đến chữ số hàng phần mười).",,,,,"Đáp án: C
A. Nóng chảy.	B. Hóa hơi.	C. Thăng hoa.	D. Đông đặc."
2,"Giả sử một người sử dụng bình oxygen và giảm số phân tử oxygen trong bình còn 1,505·1024 phân tử ở nhiệt độ 20 °C. Khi đó, áp suất của oxygen trong bình là bao nhiêu atm? (Làm tròn kết quả đến chữ số hàng đơn vị).
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Một dây dẫn thẳng nằm ngang truyền tải dòng điện xoay chiều từ nhà máy nhiệt điện Trà Vinh đến các khu vực xung quanh. Cường độ dòng điện hiệu dụng trong dây dẫn này là I=106 A. Thành phần nằm ngang của từ trường Trái Đất tại khu vực Trà Vinh có độ lớn B=4×10−5 T và tạo với dây dẫn một góc sao cho lực từ đạt cực đại.",Thành phần nằm ngang của từ trường Trái Đất tại khu vực Trà Vinh có độ lớn B=4×10−5 T và tạo với dây dẫn một góc sao cho lực từ đạt cực đại.,,"Khi đó, áp suất của oxygen trong bình là bao nhiêu atm? (Làm tròn kết quả đến chữ số hàng đơn vị).
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Một dây dẫn thẳng nằm ngang truyền tải dòng điện xoay chiều từ nhà máy nhiệt điện Trà Vinh đến các khu vực xung quanh. Cường độ dòng điện hiệu dụng trong dây dẫn này là I=106",,"Đáp án: D
A. Hình 1.	B. Hình 2.	C. Hình 3.	D. Hình 4.
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Hình bên là sơ đồ nguyên lí hoạt động của một máy lạnh. Máy lạnh sử dụng một hệ thống làm lạnh bằng chất lỏng. Chất lỏng này được bơm qua ống làm mát, nơi nó hấp thụ nhiệt từ không khí trong phòng và sau đó bay hơi thành khí. Sau đó, khí này được nén và chuyển vào dàn nóng để giải phóng nhiệt ra ngoài môi trường. Mỗi giờ có 400 kg chất lỏng được bơm qua máy. Biết nhiệt dung riêng của chất lỏng là c = 3600 J/(kgK), và nhiệt độ của chất lỏng tăng thêm 8 0C khi hấp thụ nhiệt từ không khí trong phòng."
3,"Biết dây dẫn có chiều dài L=500 m, thì tổng lực từ cực đại do từ trường Trái Đất tác dụng lên toàn bộ chiều dài dây dẫn là bao nhiêu Newton? (Làm tròn kết quả đến chữ số hàng đơn vị).",,,,,"Đáp án: 
Ta biết rằng 1 độ Celsius (°C) tương đương với 1 Kelvin (K), do đó độ tăng nhiệt độ trong Kelvin và Celsius là như nhau. Vì nhiệt độ của chất lỏng tăng thêm 80C, nên độ tăng nhiệt độ cũng là 8,0 K."
4,"Nếu dây dẫn này truyền tải công suất P=22,000 W ở điện áp hiệu dụng U=220 V, thì tổng trở của dây dẫn là bao nhiêu Ohm (Ω)? (Làm tròn kết quả đến chữ số hàng phần mười).
Sử dụng các thông tin sau cho Câu 5 và Câu 6: Nhà máy điện hạt nhân Diablo Canyon ở California, Mỹ có công suất phát điện là 1120 MW với hiệu suất 32%. Năng lượng phân hạch trung bình của một hạt nhân  là 200 MeV. Nước làm mát hấp thụ nhiệt lượng dư từ lò phản ứng và được xả ra biển sau khi qua quá trình làm mát trong các hệ thống trao đổi nhiệt. Khối lượng mol của  là 235 g/mol. Biết . Khối lượng mol nguyên tử của  là 235 g/mol.",,,,,"Đáp án: 
Công thức tính nhiệt lượng: Q=mcΔT
m=400 kg (khối lượng chất lỏng); c = 3600 J/(kgK (nhiệt dung riêng của chất lỏng)
ΔT=8,0 K  (độ tăng nhiệt độ)
Thay các giá trị vào công thức: Q=400×3600×8,0=11520000 J =11,52 MJ
Làm tròn đến 11,5 MJ."
5,"Trong một giây, số hạt nhân  phân hạch trong lò phản ứng của nhà máy Diablo Canyon là x.1020 hạt. Tính x. (làm tròn kết quả đến chữ số hàng phần trăm).",,,,,"Đáp án: 
"
6,"Biết 70% nhiệt lượng dư từ phân hạch được hấp thụ bởi nước làm mát. Nhà máy sẽ xả ra môi trường một lượng nhiệt dư bao nhiêu MW (làm tròn kết quả đến chữ số hàng đơn vị)?
---------- HẾT ----------
HƯỚNG DẪN GIẢI",,,,,"Đáp án: 
Áp suất giảm tỷ lệ thuận với nhiệt độ khi giữ thể tích không đổi, từ 373 K đến 298 K, tức là giảm 20%."
1,MD 1 VL1.1Quá trình một chất rắn chuyển trực tiếp thành khí được gọi là quá trình nào?,Nóng chảy.,Hóa hơi.,Thăng hoa.,Đông đặc.,"Đáp án: C
A. Nóng chảy.	B. Hóa hơi.	C. Thăng hoa.	D. Đông đặc."
2,MD2VL1.1 Biển báo nào dưới đây được sử dụng để cảnh báo khu vực có chất ăn mòn trong phòng thí nghiệm?,Hình 1.,Hình 2.,Hình 3.,"Hình 4.
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Hình bên là sơ đồ nguyên lí hoạt động của một máy lạnh. Máy lạnh sử dụng một hệ thống làm lạnh bằng chất lỏng. Chất lỏng này được bơm qua ống làm mát, nơi nó hấp thụ nhiệt từ không khí trong phòng và sau đó bay hơi thành khí. Sau đó, khí này được nén và chuyển vào dàn nóng để giải phóng nhiệt ra ngoài môi trường. Mỗi giờ có 400 kg chất lỏng được bơm qua máy. Biết nhiệt dung riêng của chất lỏng là c = 3600 J/(kgK), và nhiệt độ của chất lỏng tăng thêm 8 0C khi hấp thụ nhiệt từ không khí trong phòng.","Đáp án: D
A. Hình 1.	B. Hình 2.	C. Hình 3.	D. Hình 4.
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Hình bên là sơ đồ nguyên lí hoạt động của một máy lạnh. Máy lạnh sử dụng một hệ thống làm lạnh bằng chất lỏng. Chất lỏng này được bơm qua ống làm mát, nơi nó hấp thụ nhiệt từ không khí trong phòng và sau đó bay hơi thành khí. Sau đó, khí này được nén và chuyển vào dàn nóng để giải phóng nhiệt ra ngoài môi trường. Mỗi giờ có 400 kg chất lỏng được bơm qua máy. Biết nhiệt dung riêng của chất lỏng là c = 3600 J/(kgK), và nhiệt độ của chất lỏng tăng thêm 8 0C khi hấp thụ nhiệt từ không khí trong phòng."
3,MD2VL3.1 Nhiệt độ của chất lỏng tăng bao nhiêu Kelvin khi đi qua ống làm mát?,8 K.,280 K.,268 K.,"7 K.
Hướng dẫn giải
Ta biết rằng 1 độ Celsius (°C) tương đương với 1 Kelvin (K), do đó độ tăng nhiệt độ trong Kelvin và Celsius là như nhau. Vì nhiệt độ của chất lỏng tăng thêm 80C, nên độ tăng nhiệt độ cũng là 8,0 K.","Đáp án: 
Ta biết rằng 1 độ Celsius (°C) tương đương với 1 Kelvin (K), do đó độ tăng nhiệt độ trong Kelvin và Celsius là như nhau. Vì nhiệt độ của chất lỏng tăng thêm 80C, nên độ tăng nhiệt độ cũng là 8,0 K."
4,MD3VL3.1 Nhiệt lượng hấp thụ vào chất lỏng trong mỗi giờ là,"11,5 MJ.",640 MJ.,"2,3 MJ.","180 kJ.
Hướng dẫn giải
Công thức tính nhiệt lượng: Q=mcΔT
m=400 kg (khối lượng chất lỏng); c = 3600 J/(kgK (nhiệt dung riêng của chất lỏng)
ΔT=8,0 K  (độ tăng nhiệt độ)
Thay các giá trị vào công thức: Q=400×3600×8,0=11520000 J =11,52 MJ
Làm tròn đến 11,5 MJ.","Đáp án: 
Công thức tính nhiệt lượng: Q=mcΔT
m=400 kg (khối lượng chất lỏng); c = 3600 J/(kgK (nhiệt dung riêng của chất lỏng)
ΔT=8,0 K  (độ tăng nhiệt độ)
Thay các giá trị vào công thức: Q=400×3600×8,0=11520000 J =11,52 MJ
Làm tròn đến 11,5 MJ."
5,MD2VL3.1 Một khối khí lý tưởng có thể tích không đổi được làm lạnh sao cho áp suất của nó giảm một nửa. Nội năng của khối khí sẽ,tăng lên.,giảm đi.,không đổi.,tăng lên rồi giảm.,"Đáp án: 
"
6,MD3VL3.1 Áp suất bên trong bóng đèn khí giảm theo mức nào khi nhiệt độ bên trong giảm từ 100°C xuống 25°C?,20%.,75%.,90%.,"20%.
Hướng dẫn giải
Áp suất giảm tỷ lệ thuận với nhiệt độ khi giữ thể tích không đổi, từ 373 K đến 298 K, tức là giảm 20%.","Đáp án: 
Áp suất giảm tỷ lệ thuận với nhiệt độ khi giữ thể tích không đổi, từ 373 K đến 298 K, tức là giảm 20%."
7,"MD2VL1.2 Gọi p, V và T  lần lượt là áp suất, thể tích và nhiệt độ tuyệt đối của một khối khí lí tưởng xác định. Biểu thức nào sau đây là đúng với định luật Boyle về khí lý tưởng?",.,​.,.,.,"Đáp án: 
"
8,"MD3VL3.1  Trong phòng thí nghiệm, trong một bình thủy tinh kín ban đầu không khí có nhiệt độ là 10 °C, có áp suất bằng với áp suất khí quyển bên ngoài. Sau khi đậy nắp và đặt bình dưới ánh đèn mạnh trong một thời gian, nhiệt độ không khí trong bình tăng lên đến 80 °C. Sau đó, mở nắp bình cho khí thoát ra, sau cho áp suất khí trong bình bằng với áp suất khí quyển và giữ cho nhiệt độ khí vẫn là 800C thì đậy nắp bình lại. So với số mol khí trong bình ngay khi vừa đậy nắp, phần trăm số mol khí đã thoát ra xấp xỉ là",20%.,91%.,10%.,"55%.
Hướng dẫn giải
Áp dụng phương trình Clapeyron:","Đáp án: A
Áp dụng phương trình Clapeyron:"
9,"MD1VL1.1 Trong sóng điện từ, cảm ứng từ và điện trường biến thiên",cùng pha.,ngược pha.,theo chu kỳ khác nhau.,"không liên quan đến nhau.
Sử dụng các thông tin sau cho Câu 10 và Câu 11: Một khung dây dẫn phẳng có diện tích S, gồm N vòng dây quay đều với tốc độ góc ω quanh trục cố định vuông góc với cảm ứng từ B của từ trường đều (hình bên).","Đáp án: 
C. theo chu kỳ khác nhau.	D. không liên quan đến nhau.
Sử dụng các thông tin sau cho Câu 10 và Câu 11: Một khung dây dẫn phẳng có diện tích S, gồm N vòng dây quay đều với tốc độ góc ω quanh trục cố định vuông góc với cảm ứng từ B của từ trường đều (hình bên)."
10,"MD3VL2.2 Nối hai đầu khung dây với bóng đèn dây tóc có điện trở R thành một mạch kín, điều gì sẽ xảy ra với bóng đèn khi khung dây quay đều?",Bóng đèn sáng liên tục với tốc độ không đổi.,Bóng đèn không sáng.,Bóng đèn sẽ sáng và nhấp nháy theo chu kì.,"Bóng đèn sẽ sáng và độ sáng tăng dần.
Hướng dẫn giải
Khi khung dây quay đều trong từ trường, từ thông qua khung dây sẽ thay đổi tuần hoàn theo thời gian, dẫn đến việc tạo ra suất điện động cảm ứng xoay chiều trong khung dây. Suất điện động này có dạng hình sin, khiến cường độ dòng điện trong mạch xoay chiều theo thời gian. Do đó, bóng đèn sẽ sáng và nhấp nháy theo chu kỳ của dòng điện xoay chiều.","Đáp án: C
Khi khung dây quay đều trong từ trường, từ thông qua khung dây sẽ thay đổi tuần hoàn theo thời gian, dẫn đến việc tạo ra suất điện động cảm ứng xoay chiều trong khung dây. Suất điện động này có dạng hình sin, khiến cường độ dòng điện trong mạch xoay chiều theo thời gian. Do đó, bóng đèn sẽ sáng và nhấp nháy theo chu kỳ của dòng điện xoay chiều."
11,"MD1VL1.1  Tại thời điểm suất điện động đạt giá trị cực đại trong khung dây, từ thông qua khung dây có giá trị là	A. 	B. 0.	C. 	D.
Hướng dẫn giải
Suất điện động cảm ứng  trong khung dây đạt cực đại thì .
Từ thông",,0.,,"Hướng dẫn giải
Suất điện động cảm ứng  trong khung dây đạt cực đại thì .
Từ thông","Đáp án: 
Suất điện động cảm ứng  trong khung dây đạt cực đại thì .
Từ thông"
12,"MD3VL1.5  Một dây dẫn thẳng có dòng điện 5 A chạy qua, đặt vuông góc với vec-tơ cảm ứng từ trong từ trường đều có độ lớn cảm ứng từ 0,2 T. Lực từ tác dụng lên đoạn dây dài 1 m là","0,1 N.",1 N.,2 N.,"0,5 N.
Hướng dẫn giải
Lực từ tính bằng F=BIlsinθ=0,2×5×1N.","Đáp án: 
Lực từ tính bằng F=BIlsinθ=0,2×5×1N."
13,"MD1VL1.1  Trong từ trường đều, đường sức từ có tính chất",song song và cách đều nhau.,hội tụ tại một điểm.,phân tán từ cực nam đến cực bắc.,quay quanh dây dẫn mang dòng điện.,"Đáp án: 
"
14,"MD2VL1.4  Khi kĩ thuật viên chụp xương tay của bệnh nhân, máy chụp phát ra loại sóng nào để tạo hình ảnh xương?",Tia X.,Sóng siêu âm.,Sóng ánh sáng.,Tia gamma.,"Đáp án: A
A. Tia X. 	B. Sóng siêu âm.
C. Sóng ánh sáng. 	D. Tia gamma."
15,"MD2VL1.1  Một hạt nhân phóng xạ α trải qua quá trình phân rã, trong đó nó phát ra một hạt α (gồm 2 proton và 2 neutron), dẫn đến sự giảm số khối của hạt nhân mẹ đi 4 đơn vị và số proton đi 2 đơn vị. Hạt nhân mới có",cùng nguyên tử số với hạt nhân ban đầu.,tăng 2 đơn vị nguyên tử số.,giảm 2 đơn vị nguyên tử số.,giảm 4 đơn vị số khối.,"Đáp án: C
A. cùng nguyên tử số với hạt nhân ban đầu.
B. tăng 2 đơn vị nguyên tử số.
C. giảm 2 đơn vị nguyên tử số.
D. giảm 4 đơn vị số khối."
